Source,Destination,Source port,Destination port,Version
192.168.1.5,192.168.1.1,64919.0,53.0,4
192.168.1.5,192.168.1.1,64920.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64919.0,4
192.168.1.1,192.168.1.5,53.0,64920.0,4
192.168.1.5,192.168.1.1,64921.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64921.0,4
192.168.1.5,152.195.38.76,64440.0,80.0,4
152.195.38.76,192.168.1.5,80.0,64440.0,4
192.168.1.5,34.149.100.209,64441.0,443.0,4
34.149.100.209,192.168.1.5,443.0,64441.0,4
192.168.1.5,192.168.1.1,64922.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64922.0,4
192.168.1.5,192.168.1.1,64923.0,53.0,4
192.168.1.5,192.168.1.1,64924.0,53.0,4
192.168.1.5,192.168.1.1,64925.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64923.0,4
192.168.1.1,192.168.1.5,53.0,64924.0,4
192.168.1.1,192.168.1.5,53.0,64925.0,4
192.168.1.5,192.168.1.1,64926.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64926.0,4
192.168.1.5,192.168.1.1,64927.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64927.0,4
192.168.1.5,192.168.1.1,64928.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64928.0,4
192.168.1.5,34.107.221.82,64442.0,80.0,4
192.168.1.5,192.168.1.1,64929.0,53.0,4
192.168.1.5,192.168.1.1,64930.0,53.0,4
192.168.1.5,192.168.1.1,64931.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64929.0,4
192.168.1.1,192.168.1.5,53.0,64930.0,4
192.168.1.1,192.168.1.5,53.0,64931.0,4
34.107.221.82,192.168.1.5,80.0,64442.0,4
192.168.1.5,142.250.196.68,64932.0,443.0,4
192.168.1.5,142.250.196.68,64443.0,443.0,4
142.250.196.68,192.168.1.5,443.0,64932.0,4
142.250.196.68,192.168.1.5,443.0,64443.0,4
192.168.1.5,142.250.193.99,64444.0,80.0,4
192.168.1.5,185.125.190.58,64933.0,123.0,4
192.168.1.5,142.250.196.68,64445.0,443.0,4
192.168.1.5,142.250.193.99,64446.0,80.0,4
192.168.1.5,192.168.1.1,64934.0,53.0,4
192.168.1.5,192.168.1.1,64935.0,53.0,4
192.168.1.5,192.168.1.1,64936.0,53.0,4
192.168.1.5,192.168.1.1,64937.0,53.0,4
192.168.1.5,34.107.221.82,64447.0,80.0,4
192.168.1.5,192.168.1.1,64938.0,53.0,4
142.250.196.68,192.168.1.5,443.0,64445.0,4
142.250.193.99,192.168.1.5,80.0,64446.0,4
192.168.1.1,192.168.1.5,53.0,64938.0,4
192.168.1.5,142.250.196.68,64448.0,443.0,4
192.168.1.1,192.168.1.5,53.0,64934.0,4
192.168.1.1,192.168.1.5,53.0,64935.0,4
192.168.1.1,192.168.1.5,53.0,64936.0,4
192.168.1.1,192.168.1.5,53.0,64937.0,4
192.168.1.5,192.168.1.1,64939.0,53.0,4
142.250.193.99,192.168.1.5,80.0,64444.0,4
185.125.190.58,192.168.1.5,123.0,64933.0,4
192.168.1.1,192.168.1.5,53.0,64939.0,4
142.250.196.68,192.168.1.5,443.0,64448.0,4
192.168.1.5,142.250.193.99,64449.0,80.0,4
192.168.1.5,142.250.193.99,64450.0,80.0,4
34.107.221.82,192.168.1.5,80.0,64447.0,4
142.250.193.99,192.168.1.5,80.0,64449.0,4
142.250.193.99,192.168.1.5,80.0,64450.0,4
192.168.1.5,192.168.1.1,64940.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64940.0,4
192.168.1.5,192.168.1.1,64941.0,53.0,4
192.168.1.5,192.168.1.1,64942.0,53.0,4
192.168.1.5,192.168.1.1,64943.0,53.0,4
192.168.1.5,192.168.1.1,64944.0,53.0,4
192.168.1.5,192.168.1.1,64945.0,53.0,4
192.168.1.5,192.168.1.1,64946.0,53.0,4
192.168.1.5,192.168.1.1,64947.0,53.0,4
192.168.1.5,192.168.1.1,64948.0,53.0,4
192.168.1.5,192.168.1.1,64949.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64949.0,4
192.168.1.1,192.168.1.5,53.0,64941.0,4
192.168.1.1,192.168.1.5,53.0,64942.0,4
192.168.1.5,192.168.1.1,64950.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64943.0,4
192.168.1.1,192.168.1.5,53.0,64944.0,4
192.168.1.1,192.168.1.5,53.0,64950.0,4
192.168.1.1,192.168.1.5,53.0,64945.0,4
192.168.1.1,192.168.1.5,53.0,64946.0,4
192.168.1.1,192.168.1.5,53.0,64947.0,4
192.168.1.1,192.168.1.5,53.0,64948.0,4
192.168.1.5,192.168.1.1,64951.0,53.0,4
192.168.1.5,34.120.237.76,64451.0,443.0,4
192.168.1.5,34.120.237.76,64452.0,443.0,4
192.168.1.5,34.120.237.76,64453.0,443.0,4
192.168.1.5,34.120.237.76,64454.0,443.0,4
192.168.1.5,34.120.237.76,64455.0,443.0,4
192.168.1.5,34.120.237.76,64456.0,443.0,4
192.168.1.1,192.168.1.5,53.0,64951.0,4
34.120.237.76,192.168.1.5,443.0,64451.0,4
34.120.237.76,192.168.1.5,443.0,64452.0,4
34.120.237.76,192.168.1.5,443.0,64455.0,4
34.120.237.76,192.168.1.5,443.0,64454.0,4
34.120.237.76,192.168.1.5,443.0,64456.0,4
34.120.237.76,192.168.1.5,443.0,64453.0,4
192.168.1.5,23.60.169.11,64457.0,80.0,4
192.168.1.5,23.60.169.11,64458.0,80.0,4
23.60.169.11,192.168.1.5,80.0,64457.0,4
23.60.169.11,192.168.1.5,80.0,64458.0,4
192.168.1.5,142.250.196.68,64459.0,443.0,4
192.168.1.5,192.168.1.1,64952.0,53.0,4
192.168.1.5,192.168.1.1,64953.0,53.0,4
192.168.1.5,192.168.1.1,64954.0,53.0,4
192.168.1.5,192.168.1.1,64955.0,53.0,4
192.168.1.5,192.168.1.1,64956.0,53.0,4
192.168.1.5,192.168.1.1,64957.0,53.0,4
192.168.1.5,142.250.196.68,64958.0,443.0,4
192.168.1.5,142.250.196.68,64460.0,443.0,4
142.250.196.68,192.168.1.5,443.0,64459.0,4
192.168.1.1,192.168.1.5,53.0,64952.0,4
192.168.1.1,192.168.1.5,53.0,64953.0,4
192.168.1.1,192.168.1.5,53.0,64954.0,4
192.168.1.1,192.168.1.5,53.0,64955.0,4
192.168.1.1,192.168.1.5,53.0,64956.0,4
192.168.1.1,192.168.1.5,53.0,64957.0,4
192.168.1.5,192.168.1.1,64959.0,53.0,4
142.250.196.68,192.168.1.5,443.0,64460.0,4
142.250.196.68,192.168.1.5,443.0,64958.0,4
192.168.1.1,192.168.1.5,53.0,64959.0,4
192.168.1.5,44.239.242.57,64461.0,443.0,4
192.168.1.5,142.250.193.99,64462.0,80.0,4
192.168.1.5,44.239.242.57,64463.0,443.0,4
192.168.1.5,192.168.1.1,64960.0,53.0,4
192.168.1.5,142.250.193.99,64464.0,80.0,4
192.168.1.1,192.168.1.5,53.0,64960.0,4
44.239.242.57,192.168.1.5,443.0,64461.0,4
192.168.1.5,142.250.196.35,64961.0,443.0,4
142.250.196.35,192.168.1.5,443.0,64961.0,4
142.250.193.99,192.168.1.5,80.0,64464.0,4
192.168.1.5,142.250.193.99,64465.0,80.0,4
44.239.242.57,192.168.1.5,443.0,64463.0,4
192.168.1.5,142.250.182.131,64962.0,443.0,4
192.168.1.5,192.168.1.1,64963.0,53.0,4
192.168.1.5,192.168.1.1,64964.0,53.0,4
192.168.1.5,142.250.193.99,64466.0,80.0,4
142.250.193.99,192.168.1.5,80.0,64465.0,4
192.168.1.5,23.60.169.25,64467.0,80.0,4
192.168.1.5,23.60.169.25,64468.0,80.0,4
142.250.182.131,192.168.1.5,443.0,64962.0,4
192.168.1.1,192.168.1.5,53.0,64963.0,4
192.168.1.1,192.168.1.5,53.0,64964.0,4
192.168.1.5,142.250.182.99,64965.0,443.0,4
192.168.1.5,142.250.182.99,64469.0,443.0,4
23.60.169.25,192.168.1.5,80.0,64467.0,4
23.60.169.25,192.168.1.5,80.0,64468.0,4
142.250.182.99,192.168.1.5,443.0,64469.0,4
142.250.182.99,192.168.1.5,443.0,64965.0,4
142.250.193.99,192.168.1.5,80.0,64466.0,4
142.250.193.99,192.168.1.5,80.0,64462.0,4
192.168.1.5,192.168.1.1,64966.0,53.0,4
192.168.1.5,192.168.1.1,64967.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64966.0,4
192.168.1.1,192.168.1.5,53.0,64967.0,4
192.168.1.5,192.168.1.1,64968.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64968.0,4
192.168.1.5,34.120.158.37,64470.0,443.0,4
